username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
XIXCAMUV;2018-12-30 13:00;0;0;"Partly Cloudy Hoy! con una max 34C y una minima 22C. A un dia menos del #XIXCAMUV 9-11 Jul http://goo.gl/lRFK89 @Univalle_FSalud";;@Univalle_FSalud;#XIXCAMUV;"1079361493563527168";https://twitter.com/XIXCAMUV/status/1079361493563527168
Laucsegtz;2018-12-30 03:24;0;0;"Asegúratedequenoseannodulosopólipos//necesitosavoz.univalle.edu.co";;;;"1079216653534150656";https://twitter.com/Laucsegtz/status/1079216653534150656
psanabria;2018-12-29 23:35;0;2;"No exactamente.Nací en Bogotá pero me crié con tradiciones vallunas en mis vacaciones con la familia en Tuluá. Y lo que me quedaba de rolo me lo sacaron viviendo 15 años en Cali. Comí empanadas de cambray y papa sucia en Univalle.Y en mi casa hasta el perro y el gato son caleños.";;;;"1079158945711878147";https://twitter.com/psanabria/status/1079158945711878147
Andres62608377;2018-12-29 21:04;0;0;"Univalle... Ing. Comercial";;;;"1079121037378359296";https://twitter.com/Andres62608377/status/1079121037378359296
Infracer1;2018-12-29 20:47;1;6;"Que guisa es la 66, pa eso si están, pero si l la mamá les dice: vea vaya proteste con los de univalle haber si estudia el otro año, mire q no tengo como pagarle una U privada, el gamín: uy no cucha déjeme oyendo Bad bunny jajajajjajaa";;;;"1079116837823098882";https://twitter.com/Infracer1/status/1079116837823098882
JCardenasFlaco;2018-12-29 18:41;0;0;"En Febrero del 2010 Wilson Arias Castillo Senado POLO 6 escribía como la Policía registraba como un procedimiento policial el asesinato de nuestro compañero de Univalle Johnny Silva, en un país... https://calihoy.blogspot.com/2010/02/johnny-silva-un-procedimiento-policial.html";;;;"1079084943240847361";https://twitter.com/JCardenasFlaco/status/1079084943240847361
lalalllalllaa;2018-12-29 18:02;0;2;"O que la misma 14 cree propia app ... vayan a las universidades Caleñas Univalle Icesi Autónoma ... en Cali hay mucho talento en TI ... se q los chicos de Icesi son muy buenos";;;;"1079075320370786305";https://twitter.com/lalalllalllaa/status/1079075320370786305
andres_fandino;2018-12-29 15:37;3;4;"Muchas gracias por divulgar esta importante investigación científica de @Univalle_FSalud de @UnivalleCol";;@Univalle_FSalud @UnivalleCol;;"1079038701051805697";https://twitter.com/andres_fandino/status/1079038701051805697
XIXCAMUV;2018-12-29 13:00;0;0;"Partly Cloudy Hoy! con una max 34C y una minima 22C. A un dia menos del #XIXCAMUV 9-11 Jul http://goo.gl/lRFK89 @Univalle_FSalud";;@Univalle_FSalud;#XIXCAMUV;"1078999120508006401";https://twitter.com/XIXCAMUV/status/1078999120508006401
jorgeballivian;2018-12-29 12:17;0;0;"Univalle ing. Comercial";;;;"1078988457257717760";https://twitter.com/jorgeballivian/status/1078988457257717760
