username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
james52194954;2018-12-30 14:35;0;0;"Es una gran película colombiana con actores de buenaventura estudiantes de la universidad Del Valle sede Pacífico uno de los estudiante Cristian advincula ganador de premios representando el pacifico ";;;;"1079385451725766656";https://twitter.com/james52194954/status/1079385451725766656
suroscopia;2018-12-30 14:01;0;0;"Os dejamos un fragmento de 'Los silencios', de David Moreno Galeano (Documental-Universidad del Valle) uno de los ganadores de la edición anterior. Corto completo en nuestra web http://suroscopia.com #suroscopia #certamen #creación audiovisual #cortometraje#cine#creadores";;;#suroscopia #certamen #creaci;"1079376811673509891";https://twitter.com/suroscopia/status/1079376811673509891
adrobatam;2018-12-28 20:11;0;1;"Recuerdo que ella había pasado a la universidad del valle en Cali y una penando porque el ICFES no alcanzó para presentarse allá, qué piedra mano. ";;;;"1078745253073571842";https://twitter.com/adrobatam/status/1078745253073571842
ScratchinPro;2018-12-28 15:41;1;2;"Yo lo estudié en la #UniversidadDelValle Con los Arquitectos Carlos Botero y Ricardo Hincapié Me enamoré de su #arquitectura sobria y las soluciones técnicas tan depuradas, como la galería perimetral para control de humedad Herencias de un futuro que no fué, pero se veía bello";;;#UniversidadDelValle #arquitectura;"1078677352123715584";https://twitter.com/ScratchinPro/status/1078677352123715584
CortamortajaMx;2018-12-28 01:09;2;1;"(4/4) Y si eso fuera poco, el ayuntamiento de Juchitán, Oaxaca, pago la inscripción y registro de una persona a una licenciatura en la Universidad del Valle de México. Hasta el momento el Ayuntamiento no ha emitido ningún comunicado en torno a estas compras- ";;;;"1078457758335287298";https://twitter.com/CortamortajaMx/status/1078457758335287298
PrensaComunitar;2018-12-27 18:43;6;8;"El 28 de enero de 2019 el Tribunal de #PuertoBarrios debe de continuar con el juicio en contra de la Compañía Guatemalteca de Níquel CGN y la Universidad del Valle de Guatemala UVG, por la muerte de tres estudiantes universitarios en 2012 en #ElEstor. #JusticiaEstudiantesUVG";;;#PuertoBarrios #ElEstor #JusticiaEstudiantesUVG;"1078360830712922112";https://twitter.com/PrensaComunitar/status/1078360830712922112
sunivalle;2018-12-27 18:23;0;0;"Para conocimiento de la comunidad universitaria en Universidad del Valle - Ciudad Universitaria https://www.instagram.com/p/Br5pPj-HRUo/?utm_source=ig_twitter_share&amp;igshid=sxc8idpgf425";;;;"1078355674634092545";https://twitter.com/sunivalle/status/1078355674634092545
MarthaBravoF;2018-12-27 15:34;0;0;"@SaludDGPS Buenos días, soy estudiante de maestría en salud pública de la universidad del Valle, realizo una investigación sobre promoción de la salud en américa latina. Quisiera saber si en su país tiene con un documento que dirija la promoción de la salud, favor compartirlo.";;@SaludDGPS;;"1078313255288950784";https://twitter.com/MarthaBravoF/status/1078313255288950784
veeroshh;2018-12-27 02:39;0;0;"#somosfotouvt #encuadre #sesion #uvt #nature #green #conelcel #lenovophotography #photoshoot #nofilter en Universidad del Valle de Tlaxcala https://www.instagram.com/p/Br38jDDlHgx/?utm_source=ig_twitter_share&amp;igshid=r6ohwuk8w6aj";;;#somosfotouvt #encuadre #sesion #uvt #nature #green #conelcel #lenovophotography #photoshoot #nofilter;"1078118171280920576";https://twitter.com/veeroshh/status/1078118171280920576
CreceFamilia;2018-12-26 15:26;0;1;"Nueve fechas como invicta completó la selección de fútbol del CFJ Valle del Lili, tras derrotar a un combinado de la Universidad del Valle. El CFJ es operado por la ONG Crecer en Familia. @ICBFColombia @DefensoriaCol @personeriacali @JPungiluppi";;@ICBFColombia @DefensoriaCol @personeriacali @JPungiluppi;;"1077948706803060736";https://twitter.com/CreceFamilia/status/1077948706803060736
EdwinAguilar984;2018-12-26 13:49;0;0;"Integración con los compañeros del proyecto T"IP Jóvenes Sin Fronteras". #Univalle #universidaddelvalle #clubpiedralinda en Club Piedralinda https://www.instagram.com/p/Br2kQH3D7C53Cu2O2PfGNsQbzvRwgVmfTeJei00/?utm_source=ig_twitter_share&amp;igshid=j783dicoospp";;;#Univalle #universidaddelvalle #clubpiedralinda;"1077924246905651200";https://twitter.com/EdwinAguilar984/status/1077924246905651200
uvggt;2018-12-25 16:00;3;11;"La Universidad del Valle de Guatemala te desea una Feliz Navidad ";;;;"1077594890454880256";https://twitter.com/uvggt/status/1077594890454880256
mamerto_1977;2018-12-24 23:29;0;0;"Soy egresado de la Universidad del valle, administrador de Empresas, pago todos mis impuestos y a mis empleados les pago dos salarios mínimos, ósea que ñero no soy , mas bien el ignorante es otro ...que tenga feliz noche y feliz Navidad...";;;;"1077345434794901509";https://twitter.com/mamerto_1977/status/1077345434794901509
elvis_vargas_g;2018-12-24 18:33;0;2;"¿Y si se invirtiera en la Universidad del Pacífico y la Universidad del Valle para que puedan ofrecer cupos suficientes y la mejor calidad posible? Pero no. Eso significa un cambio que usted no representa, señor Fajardo. ";;;;"1077271095852576768";https://twitter.com/elvis_vargas_g/status/1077271095852576768
WRadioColombia;2018-12-24 17:20;2;13;"Cuando sonó ‘Sin sentimiento’ yo vendía cometas. Yo los oía y quería estar ahí. Yo canté ya a los 17 años. Estudié música en la Universidad del Valle, pero quería estar en Grupo Niche: Mauro Castillo &gt;&gt; #NicheDeNavidadEnLaW &gt;&gt; http://bit.ly/2GDWHxc";;;#NicheDeNavidadEnLaW;"1077252742865924098";https://twitter.com/WRadioColombia/status/1077252742865924098
federicoacevedo;2018-12-24 14:29;0;1;"Según el rector de la Universidad del Valle, el 70% de la investigación que se realiza en Colombia, la realizan las universidades públicas.";;;;"1077209601525891072";https://twitter.com/federicoacevedo/status/1077209601525891072
DacomCardem;2018-12-24 12:01;1;5;"Pues para los balleneros q se hacen los de las gafas con la necesidad de una edu superior gratuita para todos les cae como anillo al dedo enriquecer aún más privadas como uniandes. Necesitamos es enriquecer a la universidad del valle y la pública en todo el país. Para todos!!";;;;"1077172287089139712";https://twitter.com/DacomCardem/status/1077172287089139712
flaca65;2018-12-22 19:12;0;1;"Veamos quien es el ignorante, que yo sepa es escritor y crítico político recibió un doctorado honoris causa en la universidad del valle, le pregunto señor quien es el ignorante?";;;;"1076555987002232832";https://twitter.com/flaca65/status/1076555987002232832
LUNASOLESPACIO;2018-12-22 16:59;0;0;"último día de clase de maestría, en Universidad del Valle de México (UVM campus Puebla) https://www.facebook.com/100000857380101/posts/2098510800187479/";;;;"1076522726272237568";https://twitter.com/LUNASOLESPACIO/status/1076522726272237568
joalex2290;2018-12-22 15:30;0;0;"Cuál camarada, soy egresado de la universidad del valle, dígame ingeniero y vos pensas que somos guerrilleros por no querer más corruptos en este platanal, a veces a uno le da es rabia el lavado de cerebro que les han hecho que uno les habla fuerte a ver si despiertan";;;;"1076500303283978242";https://twitter.com/joalex2290/status/1076500303283978242
DianaTolorza;2018-12-21 19:01;0;0;"Enamorada de mis nuevas gafas en Universidad Del Valle-Sede Melendez https://www.instagram.com/p/BrqQ36vjin4/?utm_source=ig_twitter_share&amp;igshid=u5nh0x5rkval";;;;"1076191028770734080";https://twitter.com/DianaTolorza/status/1076191028770734080
Univalle_FSalud;2018-12-21 17:46;6;22;"La Facultad de Salud de la Universidad del Valle quiere desearle una muy Feliz Navidad y un Próspero Año 2019 ";;;;"1076172146471301125";https://twitter.com/Univalle_FSalud/status/1076172146471301125
UVsocioeconomia;2018-12-21 17:35;2;12;"¡En#Univalle! Doc. de trabajo No. 179 "Fundamentos para la formulación de la política pública de #Género de la Universidad del Valle". Participaron las profesoras del Departamento de Ciencias Sociales, Jeanny L. Posso, María E. Ibarra y Rosa E. Bermúdez. https://goo.gl/KPKMg";;;#G;"1076169375303065600";https://twitter.com/UVsocioeconomia/status/1076169375303065600
SaninPazC;2018-12-21 13:01;309;945;"Señores de la W, ¿Por qué no se les ocurrió una colecta para la Universidad del Valle en Buenaventura, que es una institución de todos? Porque los poderes no quieren que crezca lo público, sino tener a un grupo de pobres agradecidos.";;;;"1076100397851389953";https://twitter.com/SaninPazC/status/1076100397851389953
LIBERATORIO_;2018-12-21 01:58;0;0;"Estudiantes de la Universidad del Valle cantan Villancicos en el Boulevard del Río. https://www.facebook.com/Liberatorio/videos/1916432805093008/";;;;"1075933586036019202";https://twitter.com/LIBERATORIO_/status/1075933586036019202
juancadiaz;2018-12-21 00:26;0;0;" Uno más en Universidad del Valle - Ciudad Universitaria https://www.instagram.com/p/BroRNOeAJdzJweUVPLPpNTYBBlaMS0NmpZlHuc0/?utm_source=ig_twitter_share&amp;igshid=oh427sv64t74";;;;"1075910290821263360";https://twitter.com/juancadiaz/status/1075910290821263360
EgresadosUVP;2018-12-20 18:34;1;6;"¡EGRESADOS UVP! La Universidad del Valle de Puebla, le desea que esta Navidad y el próximo año 2019 estén colmados de dicha, amor y prosperidad para usted y sus seres queridos. Sinceramente, Dra. María Hortensia Irma Lozano e Islas Rectora de la Universidad del Valle de Puebla. ";;;;"1075821746798899201";https://twitter.com/EgresadosUVP/status/1075821746798899201
ufvmadrid;2018-12-20 16:07;0;4;"Estudiantes de la Universidad del Valle de Atemajac visitan la UFV para participar en el Workshop Internacional donde se presentó el proyecto 'SCI+TECH+INN for Children at Risk of Exclusion. ";;;;"1075784656048586754";https://twitter.com/ufvmadrid/status/1075784656048586754
OscarBarretoTol;2018-12-20 11:40;2;3;"Para modernizar la Universidad del Tolima se tienen que suprimir cargos y reformar los procesos administrativos, eso no lo digo yo, lo dice el estudio que adelantó la Universidad Del Valle.";;;;"1075717534169604097";https://twitter.com/OscarBarretoTol/status/1075717534169604097
PalabrasClarasM;2018-12-19 23:00;0;0;"#Salud En encuesta de la Universidad del Valle de México (UVM) reveló que la mayor parte de los mexicanos consideran que diciembre, temporada para grandes cenas en familia, es un mes de excesos... Leer más: https://palabrasclaras.mx/tecnologia/diciembre-mes-en-el-que-mexicanos-incurren-en-excesos/";;;#Salud;"1075526247940349953";https://twitter.com/PalabrasClarasM/status/1075526247940349953
ICNUNAL;2018-12-19 18:57;18;49;"El Instituto de Ciencias Naturales y el Herbario Nacional Colombiano lamenta el fallecimiento del Profesor Dr. Philip Arthur Silverstone Sopkin. Botánico y durante mucho fue director del Herbario CUVC de la Universidad del Valle y profesor de la misma Universidad. @UnivalleCol.";;@UnivalleCol;;"1075465121944780806";https://twitter.com/ICNUNAL/status/1075465121944780806
Pipas_AdCarry;2018-12-19 18:51;0;2;"Programo en Python, C#, C++, Java, JavaScript, manejo a la perfección PHP y sus frameworks, bases de datos perfectamente, estoy en el GUIA ;) Estudio inteligencias artificiales en el laboratorio de la Universidad del Valle. Calla la boquita";;;;"1075463728416649221";https://twitter.com/Pipas_AdCarry/status/1075463728416649221
MONOBESTIAL;2018-12-19 18:25;0;0;"Quien se enfada con las críticas, reconoce que las tenía merecidas. #SuelePasar — me siento relajado en Universidad del Valle Sede Pacífico https://www.facebook.com/100001236931357/posts/2184093391641871/";;;#SuelePasar;"1075457070411988993";https://twitter.com/MONOBESTIAL/status/1075457070411988993
kuijii;2018-12-19 17:28;0;0;"Desayuno (@Universidad Del Valle De Cuernavaca in Cuernavaca, Morelos) https://www.swarmapp.com/c/1pS7fxRkiY5";;;;"1075442813922349056";https://twitter.com/kuijii/status/1075442813922349056
rata_charlatana;2018-12-19 16:47;4;7;"Hoy murió el profesor Phillip A. Silverstone. Uno de esos profesores de biología de antes. Un formador de botánicos en la Universidad del Valle y para los que trabajan con dendrobatidos, el autor de trabajos seminales en esa familia. QEPD. ";;;;"1075432419237527558";https://twitter.com/rata_charlatana/status/1075432419237527558
Univalle_FSalud;2018-12-19 15:31;4;4;"Después de que los estudiantes hubieran llegado a un acuerdo con el gobierno nacional, éstas son las fechas que contempla la Universidad del Valle para volver a clases. ";;;;"1075413421242441728";https://twitter.com/Univalle_FSalud/status/1075413421242441728
Editorial_Icesi;2018-12-19 15:19;1;1;"La Feria Internacional del Libro de Cali de 2018, México País Invitado, tuvo lugar del 18 al 28 de octubre de y fue organizada por la Secretaria de Cultura de #CaliCo, la Universidad del Valle y la Fundación Spiwak. #GEUP_Colombia #LeeLibrosIcesi...";;;#CaliCo #GEUP_Colombia #LeeLibrosIcesi;"1075410358356111367";https://twitter.com/Editorial_Icesi/status/1075410358356111367
carlmejia4;2018-12-19 14:01;1;12;"Colmenares, Germán (1997): Cali, terratenientes, mineros y comerciantes. Siglo XVIII. Bogotá: Tercer Mundo Editores, Universidad del Valle, Banco de la República, Colciencias. Págs. 156-157.";;;;"1075390658591027200";https://twitter.com/carlmejia4/status/1075390658591027200
sebuchocampo;2018-12-19 02:22;0;0;"Mi momento más memorable de este año fue… #FelizAñoNuevo #Recuerdos2018 En una asamblea de estudiantes con todas las sedes de la universidad del Valle, el recinto completamente lleno y todos llamandome para que le armonizara el lugar con arengas. Fue muy emotivo. ";;;#FelizA #Recuerdos2018;"1075214869765459968";https://twitter.com/sebuchocampo/status/1075214869765459968
ChristianCuan;2018-12-18 16:25;0;0;"Cuando entras a la Universidad del Valle después de estar acostumbrado a el ICESI ";;;;"1075064545612390400";https://twitter.com/ChristianCuan/status/1075064545612390400
CharlLizarraga;2018-12-18 16:23;0;0;"En el hospital de la Universidad Del Valle de Mexico ya cuenta con banco de sangre para perros y gatos podrías preguntar ";;;;"1075064131735048192";https://twitter.com/CharlLizarraga/status/1075064131735048192
sevillaalcaldia;2018-12-18 14:33;0;0;"La administración municipal Sevilla Nos Une y la Universidad del Valle invitan a los interesados en programas de esta Universidad, a completar la siguiente encuesta para perfilar la posible oferta académica en nuestro... https://www.e-encuesta.com/s/ePJZ19cMdjPvotimZJR1Aw/";;;;"1075036259951788034";https://twitter.com/sevillaalcaldia/status/1075036259951788034
Conacyt_MX;2018-12-18 01:30;19;46;"Estudiantes y profesores del cuerpo académico de ingeniería aplicada de la Universidad del Valle de Puebla, realizan un proyecto de cultivo de invernadero hidropónico para optimizar procesos de producción de hortalizas. https://goo.gl/a25kWE ";;;;"1074839162057043970";https://twitter.com/Conacyt_MX/status/1074839162057043970
Univalle_FSalud;2018-12-17 22:12;0;1;"Mira en que posición quedó la Universidad del Valle, respecto a las Pruebas Saber Pro del año 2017 https://bit.ly/2QEknpK";;;;"1074789431150825473";https://twitter.com/Univalle_FSalud/status/1074789431150825473
UnivalleTuluaOf;2018-12-17 18:14;0;1;"Durante la mañana del día Jueves 13 de Diciembre se llevó a cabo la Ceremonia solemne de grados 2018-2 de la Universidad del Valle sede Tuluá. Se graduaron alrededor de 139 estudiantes de pregrado y postgrado.... https://www.facebook.com/UnivalleTulua/posts/2166445256746706";;;;"1074729567393325056";https://twitter.com/UnivalleTuluaOf/status/1074729567393325056
UnivalleTuluaOf;2018-12-17 17:24;0;0;"Recuerda traer tu regalo y haz sonreír a un niño... Se recibirán regalos hasta el día 19 de Diciembre en el Hall de la Universidad del Valle sede Villa Campestre. Los esperamos. https://www.facebook.com/UnivalleTulua/posts/2166394930085072";;;;"1074716879858618369";https://twitter.com/UnivalleTuluaOf/status/1074716879858618369
Cali_BN;2018-12-17 15:36;0;0;"En el consejo superior de la Universidad del Valle, que se realizó en las ultimas horas, la Gobernadora Dilian Francisca Toro se mostró complacida por el acuerdo logrado entre los estudiantes y el Gobierno nacional. https://buff.ly/2PHSO9K";;;;"1074689693458022400";https://twitter.com/Cali_BN/status/1074689693458022400
